Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medication-adherence.json	12062	-	0	0	0	0	0	0	10	62	0	0	0	0	0	0	0	1	0	0	0	103	100	0	0	0	5	0	0
fsh-generated/resources/AllergyIntolerance-allergy-aspirin-ana.json	656	3	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-adherence-medication.json	930	1	0	0	2	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	16	87	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-adherence-observation-code.json	845	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	12	72	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-adherence-reason.json	1367	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	18	77	0	0	0	1	0	0
fsh-generated/resources/MedicationAdministration-admin-ana-skipped.json	1048	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	19	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-admin-ana-taken.json	744	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-admin-carlos-missed.json	1031	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-admin-carlos-taken.json	767	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-admin-maria-am.json	759	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/MedicationAdministration-admin-maria-pm.json	756	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-rx-ibuprofen-ana.json	1146	1	0	0	0	0	0	0	0	1204	0	0	0	0	0	0	0	0	0	0	0	10	25	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-rx-lisinopril-carlos.json	1162	1	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	13	10	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-rx-metformin-maria.json	1420	2	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	1
fsh-generated/resources/Observation-obs-adherence-ana.json	830	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	33	14	0	0	0	0	0	0
fsh-generated/resources/Observation-obs-adherence-carlos.json	777	1	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/Observation-obs-adherence-maria.json	773	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-adherent-maria.json	542	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-ae-ana.json	525	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/Patient-patient-forgetful-carlos.json	547	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/Practitioner-practitioner-example.json	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-adherence-observation.json	1448	2	0	43	0	0	0	1	0	57	0	0	0	0	0	0	0	1	0	0	0	167	863	0	1	0	9	0	0
fsh-generated/resources/StructureDefinition-medication-administration-adherence.json	1904	1	0	31	0	0	0	0	0	19	0	0	1	0	0	0	0	1	0	0	0	118	287	0	0	0	7	0	1
